from,to
T190,T271
T191,T271
T40,T272
T71,T272
T188,T272
T161,T273
T143,T273
T128,T273
T96,T276
T256,T276
T266,T276
T199,T276
T61,T276
T134,T277
T229,T277
T147,T278
T252,T279
T103,T279
T63,T279
T70,T279
T38,T279
T89,T280
T228,T280
T45,T280
T164,T281
T178,T281
T34,T281
T278,T281
T149,T281
T81,T282
T90,T282
T261,T283
T115,T283
T72,T285
T253,T286
T284,T288
T189,T288
T283,T289
T67,T289
T45,T289
T204,T291
T246,T291
T211,T292
T210,T292
T38,T292
T65,T292
T38,T293
T231,T293
T265,T294
T177,T294
T66,T294
T94,T295
T67,T295
T222,T295
T258,T295
T79,T298
T156,T298
T85,T298
T83,T298
T116,T299
T178,T299
T146,T300
T41,T300
T129,T300
T101,T300
T283,T301
T141,T301
T65,T301
T156,T301
T274,T301
T87,T303
T298,T303
T79,T303
T88,T303
T173,T304
T289,T304
T22,T304
T15,T304
T42,T304
T296,T306
T136,T306
T108,T306
T293,T306
T214,T306
T16,T307
T255,T307
T280,T307
T149,T307
T155,T308
T248,T308
T126,T308
T208,T308
T153,T308
T38,T309
T31,T309
T81,T309
T213,T310
T248,T310
T238,T310
T175,T311
T74,T312
T161,T312
T164,T312
T177,T312
T67,T313
T190,T313
T264,T313
T55,T314
T164,T314
T124,T314
T239,T314
T231,T316
T127,T316
T50,T317
T197,T319
T316,T319
T128,T320
T82,T320
T168,T320
T161,T321
T98,T321
T82,T321
T256,T321
T240,T322
T256,T322
T158,T322
T255,T322
T259,T325
T235,T325
T124,T325
T299,T326
T25,T327
T26,T327
T254,T328
T306,T328
T241,T329
T147,T329
T275,T329
T5,T329
T56,T329
T69,T330
T136,T330
T188,T330
T188,T331
T24,T331
T206,T331
T288,T333
T100,T333
T186,T333
T284,T333
T38,T334
T198,T334
T231,T335
T282,T335
T144,T335
T320,T335
T313,T336
T61,T336
T66,T336
T50,T336
T202,T336
T174,T337
T286,T337
T74,T338
T102,T338
T261,T339
T206,T339
T257,T339
T21,T339
T171,T342
T266,T343
T234,T343
T77,T343
T264,T344
T72,T344
T168,T344
T314,T344
T84,T345
T202,T345
T154,T346
T304,T346
T173,T346
T260,T346
T273,T347
T251,T347
T289,T347
T154,T347
T9,T348
T189,T348
T170,T348
T57,T349
T214,T349
T299,T349
T158,T349
T323,T349
T243,T351
T136,T351
T336,T351
T297,T351
T117,T352
T27,T352
T299,T352
T246,T352
T269,T353
T318,T354
T195,T354
T76,T354
T349,T354
T125,T354
T57,T356
T98,T356
T10,T356
T226,T356
T215,T357
T78,T357
T354,T358
T105,T358
T211,T358
T314,T359
T242,T359
T32,T359
T71,T359
T107,T360
T288,T360
T167,T360
T340,T360
T270,T361
T193,T361
T161,T361
T236,T362
T176,T363
T280,T363
T182,T363
T347,T363
T349,T364
T330,T364
T355,T364
T136,T364
T313,T364
T99,T365
T127,T365
T143,T365
T153,T366
T116,T366
T148,T366
T361,T366
T354,T367
T251,T368
T163,T368
T246,T368
T179,T368
T287,T368
T141,T369
T148,T369
T63,T369
T294,T369
T347,T369
T195,T370
T203,T370
T177,T370
T75,T370
T22,T371
T148,T371
T41,T372
T178,T372
T227,T372
T336,T372
T132,T372
T246,T373
T110,T373
T104,T373
T276,T373
T139,T373
T357,T374
T140,T374
T71,T374
T56,T374
T301,T375
T123,T375
T125,T375
T26,T375
T272,T376
T116,T376
T327,T376
T120,T376
T27,T376
T170,T378
T368,T378
T242,T378
T71,T380
T3,T380
T282,T380
T81,T380
T209,T380
T244,T381
T245,T381
T334,T381
T103,T381
T148,T381
T147,T382
T331,T382
T294,T385
T119,T385
T274,T385
T379,T385
T371,T385
T214,T387
T19,T388
T254,T389
T96,T389
T384,T389
T20,T390
T5,T390
T291,T391
T309,T391
T146,T393
T233,T393
T279,T394
T269,T394
T253,T394
T69,T394
T259,T394
T140,T395
T99,T395
T58,T395
T84,T396
T375,T396
T332,T397
T132,T397
T368,T397
T8,T398
T173,T399
T152,T399
T291,T399
T346,T399
T388,T399
T90,T400
T328,T401
T208,T401
T219,T401
T264,T401
T45,T402
T206,T402
T49,T403
T95,T403
T72,T403
T245,T403
T166,T403
T4,T404
T197,T405
T121,T405
T386,T406
T137,T406
T169,T406
T299,T407
T371,T407
T6,T408
T134,T408
T335,T408
T185,T408
T121,T409
T32,T409
T342,T409
T61,T409
T239,T409
T82,T410
T208,T410
T258,T411
T361,T411
T395,T411
T160,T411
T354,T411
T152,T413
T189,T413
T315,T413
T114,T413
T113,T413
T245,T414
T233,T415
T311,T416
T192,T416
T213,T416
T360,T416
T282,T416
T388,T417
T276,T417
T411,T417
T112,T418
T391,T418
T127,T418
T349,T418
T387,T418
T404,T419
T42,T419
T270,T419
T229,T419
T361,T420
T186,T420
T40,T420
T289,T420
T259,T423
T104,T423
T294,T423
T275,T423
T85,T424
T267,T425
T227,T425
T106,T427
T368,T427
T299,T427
T251,T427
T47,T427
T229,T428
T415,T428
T29,T428
T233,T428
T263,T429
T234,T430
T289,T430
T30,T430
T237,T431
T345,T431
T414,T431
T158,T431
T12,T432
T203,T432
T131,T432
T419,T432
T2,T432
T112,T433
T297,T433
T38,T433
T24,T433
T217,T433
T359,T434
T33,T434
T31,T435
T36,T435
T242,T435
T17,T435
T210,T436
T93,T436
T393,T437
T374,T438
T331,T438
T216,T438
T192,T438
T196,T438
T194,T439
T193,T439
T42,T439
T339,T440
T277,T440
T69,T440
T335,T440
T179,T440
T276,T442
T271,T443
T66,T443
T373,T443
T428,T444
T238,T447
T345,T447
T279,T448
T218,T448
T273,T448
T195,T448
T422,T448
T127,T449
T178,T450
T80,T450
T142,T450
T449,T451
T392,T452
T58,T452
T17,T452
T415,T452
T339,T452
T315,T453
T393,T453
T9,T453
T106,T454
T18,T457
T229,T457
T307,T457
T345,T457
T447,T458
T25,T458
T126,T458
T380,T458
T23,T458
T225,T459
T120,T459
T277,T459
T387,T460
T258,T462
T120,T463
T418,T463
T295,T464
T164,T464
T296,T464
T307,T464
T396,T464
T420,T465
T165,T465
T122,T465
T155,T465
T449,T465
T339,T466
T114,T467
T212,T467
T154,T467
T141,T467
T303,T469
T451,T469
T377,T469
T467,T469
T321,T470
T219,T471
T285,T471
T254,T471
T25,T471
T177,T471
T344,T472
T196,T472
T403,T472
T269,T472
T164,T472
T214,T473
T210,T473
T77,T473
T154,T473
T193,T473
T387,T474
T243,T475
T124,T475
T435,T475
T116,T475
T440,T476
T363,T476
T413,T477
T469,T478
T30,T478
T288,T478
T214,T479
T286,T479
T272,T479
T199,T480
T131,T481
T170,T482
T41,T483
T473,T483
T231,T483
T434,T483
T190,T483
T371,T485
T425,T485
T98,T485
T27,T485
T194,T486
T345,T486
T309,T487
T21,T487
T448,T487
T38,T487
T412,T488
T371,T489
T344,T489
T287,T489
T112,T489
T107,T490
T446,T490
T465,T490
T156,T491
T490,T491
T480,T493
T493,T494
T61,T495
T383,T495
T387,T495
T246,T495
T469,T495
T357,T496
T361,T497
T105,T497
T204,T497
T469,T497
T283,T498
T398,T499
T145,T499
T239,T500
T274,T500
T333,T500
T158,T501
T134,T501
T263,T502
T452,T502
T239,T503
T51,T503
T412,T503
T241,T504
T390,T504
T430,T504
T164,T504
T469,T504
T190,T505
T212,T506
T24,T506
T443,T507
T114,T507
T380,T507
T75,T507
T284,T509
T479,T509
T297,T510
T369,T510
T214,T510
T152,T510
T101,T511
T118,T512
T195,T512
T252,T513
T512,T513
T346,T513
T264,T513
T503,T514
T472,T514
T173,T514
T361,T515
T174,T515
T144,T515
T501,T515
T189,T515
T61,T516
T35,T516
T77,T516
T50,T516
T141,T518
T237,T518
T70,T518
T155,T519
T10,T519
T224,T519
T518,T519
T467,T519
T62,T520
T495,T520
T500,T521
T17,T521
T7,T521
T422,T521
T13,T521
T282,T523
T294,T523
T18,T523
T515,T523
T441,T524
T184,T524
T110,T524
T99,T524
T153,T524
T197,T525
T259,T526
T363,T526
T274,T526
T407,T526
T416,T528
T471,T528
T250,T529
T232,T529
T308,T529
T83,T529
T33,T530
T96,T530
T416,T530
T389,T530
T387,T530
T488,T531
T58,T531
T10,T531
T176,T531
T445,T533
T340,T533
T98,T533
T44,T534
T236,T534
T217,T534
T487,T534
T48,T535
T77,T535
T288,T536
T34,T536
T184,T536
T323,T536
T17,T536
T148,T537
T408,T538
T79,T538
T307,T538
T167,T538
T247,T538
T399,T539
T340,T539
T394,T539
T144,T539
T81,T540
T513,T540
T355,T540
T55,T540
T101,T540
T238,T541
T78,T541
T349,T541
T407,T542
T335,T542
T31,T542
T280,T542
T503,T543
T234,T543
T365,T543
T385,T544
T443,T544
T191,T544
T390,T544
T303,T546
T253,T546
T76,T546
T85,T546
T158,T547
T390,T547
T158,T548
T399,T548
T325,T548
T370,T548
T110,T548
T456,T551
T369,T551
T105,T552
T136,T552
T442,T554
T525,T555
T418,T555
T106,T555
T96,T558
T333,T558
T13,T559
T299,T559
T424,T559
T87,T560
T249,T560
T534,T560
T390,T561
T143,T562
T309,T563
T275,T563
T150,T564
T65,T564
T172,T564
T283,T565
T432,T565
T307,T565
T79,T566
T370,T566
T258,T566
T508,T567
T201,T568
T469,T568
T110,T568
T139,T568
T7,T569
T406,T569
T390,T570
T338,T570
T343,T571
T441,T571
T140,T571
T329,T572
T206,T572
T322,T573
T182,T573
T408,T573
T299,T574
T503,T574
T249,T575
T334,T575
T386,T575
T288,T575
T374,T576
T117,T576
T205,T576
T559,T577
T185,T577
T564,T577
T28,T577
T473,T578
T215,T578
T449,T578
T299,T578
T71,T578
T512,T579
T143,T579
T311,T579
T259,T580
T158,T581
T434,T581
T387,T581
T76,T581
T460,T581
T491,T582
T411,T582
T548,T582
T519,T582
T429,T583
T557,T583
T38,T583
T369,T583
T550,T583
T88,T584
T112,T584
T255,T584
T364,T584
T46,T585
T410,T586
T340,T586
T441,T586
T109,T586
T228,T589
T523,T589
T532,T590
T572,T590
T227,T590
T457,T590
T384,T590
T475,T591
T513,T591
T155,T591
T26,T592
T495,T592
T426,T594
T88,T594
T146,T596
T357,T596
T320,T596
T352,T596
T467,T596
T534,T597
T357,T598
T488,T598
T100,T598
T464,T599
T327,T599
T69,T599
T46,T600
T118,T600
T112,T602
T169,T602
T250,T603
T529,T603
T179,T603
T566,T603
T164,T603
T574,T604
T437,T604
T238,T605
T415,T605
T189,T605
T443,T606
T30,T607
T203,T607
T461,T607
T440,T608
T399,T608
T5,T608
T220,T608
T286,T609
T65,T610
T592,T610
T105,T610
T550,T610
T192,T610
T334,T611
T202,T611
T117,T612
T269,T612
T502,T612
T321,T613
T612,T613
T398,T613
T402,T613
T117,T614
T357,T614
T361,T614
T469,T614
T177,T615
T305,T615
T605,T615
T87,T615
T138,T616
T321,T616
T121,T616
T245,T616
T313,T616
T383,T618
T145,T619
T524,T619
T398,T619
T429,T619
T611,T619
T589,T620
T434,T621
T191,T621
T499,T621
T551,T622
T178,T622
T569,T622
T171,T622
T502,T622
T144,T623
T192,T623
T462,T624
T55,T624
T10,T625
T497,T625
T200,T626
T576,T627
T518,T627
T507,T627
T504,T628
T426,T628
T455,T628
T172,T629
T85,T629
T579,T629
T300,T631
T231,T633
T551,T633
T173,T634
T469,T634
T508,T635
T563,T635
T524,T635
T116,T635
T117,T636
T275,T636
T557,T636
T376,T636
T43,T637
T452,T637
T560,T637
T224,T637
T105,T638
T254,T638
T305,T638
T270,T640
T357,T640
T90,T640
T121,T641
T243,T641
T215,T641
T603,T642
T360,T642
T625,T642
T439,T642
T170,T642
T143,T643
T212,T643
T61,T643
T584,T643
T546,T644
T288,T644
T552,T645
T173,T645
T332,T645
T300,T645
T587,T646
T274,T646
T98,T647
T139,T647
T422,T647
T61,T647
T130,T648
T136,T648
T150,T649
T330,T650
T254,T650
T403,T650
T502,T650
T146,T650
T648,T651
T276,T651
T643,T651
T425,T651
T463,T652
T78,T652
T649,T652
T528,T654
T285,T654
T378,T654
T500,T655
T336,T655
T596,T655
T96,T657
T470,T657
T651,T657
T367,T657
T65,T657
T408,T658
T224,T658
T440,T658
T217,T658
T275,T659
T331,T659
T291,T659
T561,T660
T592,T660
T580,T661
T352,T662
T50,T662
T48,T662
T471,T664
T17,T664
T128,T664
T162,T664
T452,T664
T1,T665
T439,T665
T208,T665
T136,T666
T310,T666
T163,T666
T281,T666
T96,T666
T370,T667
T257,T667
T85,T667
T381,T667
T665,T667
T54,T668
T641,T669
T313,T669
T240,T669
T94,T670
T98,T670
T2,T670
T489,T671
T608,T673
T532,T674
T456,T675
T10,T675
T9,T675
T352,T675
T124,T675
T136,T676
T490,T676
T73,T676
T393,T677
T105,T679
T106,T679
T321,T679
T377,T679
T307,T679
T392,T680
T657,T681
T147,T682
T71,T682
T544,T682
T577,T682
T9,T682
T666,T683
T169,T683
T451,T683
T360,T683
T219,T684
T644,T684
T156,T684
T422,T684
T631,T684
T454,T685
T223,T685
T89,T685
T103,T685
T144,T685
T394,T687
T360,T687
T440,T687
T323,T687
T254,T688
T661,T689
T87,T689
T567,T690
T615,T691
T623,T691
T292,T691
T28,T691
T309,T692
T211,T692
T531,T692
T622,T692
T522,T692
T402,T693
T662,T694
T56,T694
T507,T695
T116,T696
T247,T696
T512,T696
T609,T697
T73,T697
T541,T697
T13,T697
T370,T697
T136,T698
T397,T698
T431,T699
T375,T699
T560,T699
T177,T699
T75,T700
T18,T700
T602,T700
T221,T703
T41,T703
T519,T705
T294,T705
T644,T705
T514,T706
T426,T706
T434,T706
T412,T706
T85,T706
T550,T707
T551,T707
T631,T707
T157,T707
T285,T707
T81,T709
T524,T709
T160,T710
T335,T711
T401,T711
T601,T711
T650,T711
T698,T712
T659,T712
T68,T712
T318,T712
T448,T712
T245,T713
T60,T713
T251,T713
T89,T713
T445,T713
T627,T715
T624,T715
T57,T715
T683,T716
T674,T716
T180,T717
T123,T717
T13,T717
T141,T717
T12,T717
T509,T718
T536,T719
T530,T719
T266,T720
T171,T720
T381,T720
T130,T720
T276,T720
T121,T721
T31,T721
T344,T721
T440,T721
T279,T721
T66,T722
T270,T722
T591,T722
T643,T722
T467,T724
T524,T724
T369,T724
T581,T726
T171,T726
T377,T726
T262,T727
T691,T729
T119,T729
T234,T729
T522,T729
T48,T733
T373,T734
T393,T734
T154,T734
T37,T735
T732,T736
T672,T736
T430,T736
T230,T736
T255,T737
T427,T737
T328,T738
T278,T738
T80,T738
T586,T738
T382,T738
T690,T740
T54,T740
T184,T740
T229,T740
T48,T741
T411,T741
T71,T741
T477,T741
T319,T742
T336,T742
T468,T744
T9,T744
T378,T744
T206,T744
T578,T745
T312,T745
T638,T746
T249,T746
T476,T746
T378,T746
T606,T746
T201,T747
T560,T747
T252,T747
T7,T748
T25,T749
T239,T749
T555,T749
T652,T750
T711,T750
T2,T752
T674,T752
T745,T753
T315,T753
T107,T753
T543,T754
T430,T755
T62,T756
T146,T756
T729,T756
T96,T757
T45,T757
T533,T758
T718,T759
T382,T759
T470,T759
T87,T760
T595,T760
T98,T760
T518,T760
T137,T760
T404,T761
T77,T761
T607,T761
T582,T761
T64,T761
T679,T762
T134,T762
T243,T762
T268,T763
T323,T763
T718,T764
T754,T764
T335,T764
T464,T765
T279,T765
T77,T766
T140,T767
T112,T768
T160,T768
T109,T768
T169,T768
T478,T769
T322,T769
T417,T769
T367,T771
T213,T771
T463,T771
T316,T771
T272,T772
T123,T772
T93,T772
T703,T773
T722,T774
T714,T774
T42,T775
T221,T775
T336,T775
T152,T775
T255,T777
T365,T777
T406,T777
T526,T777
T51,T777
T307,T778
T267,T778
T179,T778
T32,T778
T415,T778
T570,T779
T767,T779
T564,T779
T97,T780
T105,T781
T144,T781
T125,T781
T134,T784
T411,T785
T703,T786
T646,T786
T87,T787
T597,T787
T601,T787
T266,T787
T77,T787
T662,T790
T132,T791
T95,T791
T340,T791
T52,T794
T173,T794
T588,T794
T742,T795
T405,T795
T509,T795
T700,T797
T437,T797
T177,T797
T220,T798
T192,T798
T287,T799
T457,T799
T36,T800
T635,T801
T632,T801
T252,T801
T663,T801
T511,T802
T422,T802
T491,T803
T63,T803
T90,T803
T287,T803
T141,T804
T430,T804
T205,T804
T539,T805
T256,T805
T646,T805
T557,T805
T20,T805
T801,T806
T731,T806
T368,T806
T558,T807
T801,T807
T497,T807
T580,T808
T515,T808
T398,T809
T277,T809
T27,T810
T612,T811
T225,T811
T60,T813
T484,T813
T367,T814
T786,T814
T599,T814
T239,T814
T103,T815
T673,T816
T273,T817
T811,T818
T755,T818
T58,T818
T783,T818
T590,T819
T364,T820
T178,T820
T181,T820
T607,T821
T756,T822
T715,T822
T606,T823
T29,T823
T718,T824
T361,T824
T582,T824
T578,T824
T146,T824
T193,T825
T505,T825
T556,T825
T317,T825
T503,T826
T617,T830
T21,T831
T490,T832
T1,T832
T340,T832
T629,T832
T826,T833
T349,T834
T182,T835
T822,T835
T332,T835
T61,T835
T23,T835
T601,T836
T146,T837
T793,T837
T114,T837
T539,T837
T374,T837
T722,T839
T679,T839
T601,T840
T104,T840
T345,T840
T331,T841
T140,T841
T750,T842
T811,T843
T655,T843
T499,T843
T325,T844
T179,T844
T725,T844
T576,T844
T711,T844
T806,T845
T366,T845
T229,T845
T682,T845
T835,T846
T180,T846
T388,T846
T315,T846
T706,T847
T302,T847
T131,T847
T182,T847
T747,T847
T587,T849
T401,T849
T790,T849
T582,T849
T34,T849
T617,T850
T829,T851
T627,T851
T655,T852
T107,T853
T509,T853
T145,T853
T340,T853
T80,T854
T244,T854
T356,T854
T328,T854
T172,T854
T91,T855
T842,T855
T726,T855
T687,T855
T655,T855
T344,T856
T458,T856
T12,T856
T272,T856
T215,T856
T710,T857
T263,T859
T806,T859
T2,T861
T50,T861
T396,T861
T449,T861
T751,T861
T171,T862
T424,T862
T505,T862
T360,T863
T560,T863
T385,T863
T808,T865
T592,T865
T667,T865
T231,T866
T167,T866
T463,T866
T76,T866
T819,T866
T21,T868
T327,T868
T108,T869
T76,T869
T175,T870
T385,T870
T750,T871
T96,T873
T347,T873
T609,T873
T629,T873
T722,T874
T32,T874
T442,T874
T169,T875
T622,T875
T445,T875
T161,T875
T55,T875
T211,T877
T195,T877
T714,T878
T568,T878
T740,T878
T554,T879
T272,T879
T677,T879
T289,T879
T305,T879
T99,T880
T586,T882
T563,T882
T861,T882
T158,T883
T56,T883
T370,T883
T90,T885
T302,T885
T844,T885
T641,T886
T615,T886
T492,T886
T205,T886
T100,T886
T175,T888
T299,T889
T84,T889
T485,T889
T865,T889
T119,T889
T804,T890
T408,T890
T501,T891
T677,T891
T272,T891
T558,T893
T397,T893
T190,T893
T380,T893
T391,T893
T192,T894
T457,T894
T451,T896
T477,T896
T232,T897
T858,T897
T578,T898
T64,T898
T771,T899
T684,T900
T100,T900
T88,T900
T685,T900
T353,T900
T424,T901
T775,T901
T604,T901
T233,T901
T63,T902
T861,T902
T397,T902
T839,T902
T429,T903
T549,T903
T704,T903
T888,T903
T587,T904
T903,T904
T242,T904
T307,T905
T81,T905
T405,T905
T36,T906
T515,T906
T585,T906
T530,T906
T820,T906
T694,T907
T636,T907
T151,T907
T124,T907
T178,T908
T172,T908
T217,T908
T130,T909
T81,T911
T700,T911
T446,T911
T843,T912
T152,T913
T855,T913
T610,T913
T265,T913
T328,T913
T827,T914
T69,T914
T90,T914
T398,T914
T570,T914
T566,T915
T334,T915
T878,T915
T533,T916
T470,T916
T639,T918
T602,T918
T536,T918
T801,T918
T430,T918
T154,T920
T152,T920
T581,T920
T597,T921
T777,T921
T103,T921
T109,T921
T799,T922
T104,T922
T805,T922
T293,T922
T902,T923
T353,T923
T899,T923
T421,T923
