task_id,base_runtime
T633,79
T634,91
T635,129
T636,77
T637,198
T638,56
T639,129
T640,197
T641,146
T642,151
T643,100
T644,69
T645,112
T646,76
T647,127
T648,80
T649,194
T650,60
T651,138
T652,186
T653,159
T654,144
T655,67
T656,179
T657,137
T658,53
T659,157
T660,175
T661,77
T662,160
T663,142
T664,167
T665,89
T666,161
T667,95
T668,183
T669,119
T670,187
T671,173
T672,169
T673,161
T674,118
T675,132
T676,112
T677,72
T678,121
T679,165
T680,112
T681,168
T682,195
T683,147
T684,136
T685,57
T686,176
T687,133
T688,96
T689,174
T690,104
T691,140
T692,116
T693,137
T694,121
T695,120
T696,192
T697,52
T698,182
T699,98
T700,71
T701,111
T702,154
T703,175
T704,192
T705,111
T706,171
T707,175
T708,164
T709,54
T710,73
T711,125
T712,106
T713,153
T714,112
T715,128
T716,198
T717,144
T718,171
T719,191
T720,185
T721,138
T722,158
T723,190
T724,134
T725,140
T726,166
T727,119
T728,128
T729,114
T730,109
T731,80
T732,99
T733,130
T734,80
T735,187
T736,97
T737,99
T738,105
T739,173
T740,120
T741,200
T742,184
T743,122
T744,75
T745,99
T746,125
T747,108
T748,142
T749,95
T750,127
T751,53
T752,186
T753,82
T754,120
T755,61
T756,63
T757,191
T758,124
T759,82
T760,175
T761,76
T762,53
T763,196
T764,122
T765,170
T766,172
T767,162
T768,137
T769,97
T770,63
T771,114
T772,172
T773,79
T774,66
T775,152
T776,175
T777,68
T778,197
T779,63
T780,88
T781,88
T782,194
T783,127
T784,71
T785,113
T786,80
T787,192
T788,156
T789,107
T790,183
T791,147
T792,165
T793,163
T794,126
T795,200
T796,159
T797,128
T798,195
T799,65
T800,75
T801,103
T802,104
T803,117
T804,70
T805,90
T806,111
T807,94
T808,191
T809,69
T810,90
T811,50
T812,154
T813,165
T814,170
T815,124
T816,58
T817,109
T818,123
T819,122
T820,166
T821,68
T822,109
T823,117
T824,200
T825,100
T826,158
T827,79
T828,189
T829,107
T830,88
T831,118
T832,86
T833,68
T834,65
T835,92
T836,128
T837,195
T838,123
T839,162
T840,81
T841,169
T842,127
T843,153
T844,119
T845,178
T846,188
T847,176
T848,162
T849,70
T850,60
T851,160
T852,132
T853,114
T854,56
T855,73
T856,108
T857,197
T858,200
T859,55
T860,118
T861,197
T862,60
T863,94
T864,170
T865,182
T866,163
T867,121
T868,96
T869,199
T870,161
T871,175
T872,73
T873,170
T874,139
T875,154
T876,135
T877,132
T878,76
T879,91
T880,134
T881,155
T882,176
T883,123
T884,152
T885,190
T886,59
T887,166
T888,72
T889,130
T890,114
T891,132
T892,79
T893,153
T894,181
T895,50
T896,188
T897,168
T898,155
T899,63
T900,98
T901,182
T902,142
T903,177
T904,163
T905,63
T906,102
T907,118
T908,190
T909,83
T910,123
T911,162
T912,174
T913,81
T914,57
T915,111
T916,90
T917,129
T918,191
T919,53
T920,191
T921,154
T922,73
T923,107
T924,79
T925,168
T926,80
T927,89
T928,177
T929,124
T930,180
T931,119
T932,156
T933,173
T934,170
T935,112
T936,166
T937,191
T938,87
T939,148
T940,98
T941,180
T942,84
T943,67
T944,120
T945,156
T946,137
T947,179
T948,118
T949,50
T950,122
T951,126
T952,200
T953,198
T954,175
T955,88
T956,164
T957,187
T958,173
T959,138
T960,135
T961,191
T962,189
T963,146
T964,166
T965,132
T966,98
T967,111
T968,196
T969,148
T970,109
T971,155
T972,61
T973,131
T974,171
T975,147
T976,148
T977,88
T978,176
T979,59
T980,82
T981,178
T982,134
T983,75
T984,162
T985,75
T986,184
T987,166
T988,53
T989,86
T990,154
T991,89
T992,69
T993,170
T994,117
T995,136
T996,151
T997,70
T998,134
T999,186
T1000,147
