from,to
T79,T81
T42,T82
T8,T82
T2,T83
T46,T83
T29,T83
T36,T83
T23,T83
T3,T84
T69,T84
T75,T85
T14,T85
T49,T85
T84,T85
T33,T85
T82,T86
T78,T86
T71,T86
T27,T86
T57,T86
T42,T87
T27,T88
T75,T88
T51,T89
T20,T89
T58,T89
T30,T89
T56,T89
T19,T90
T62,T90
T24,T92
T59,T92
T23,T92
T73,T93
T24,T94
T83,T94
T37,T94
T21,T96
T23,T96
T88,T97
T78,T97
T25,T97
T10,T99
T32,T100
T59,T100
T83,T100
T13,T101
T93,T101
T68,T101
T94,T102
T13,T104
T49,T104
T50,T104
T3,T104
T6,T107
T17,T107
T32,T107
T99,T107
T11,T107
T19,T108
T81,T108
T2,T109
T102,T109
T14,T109
T70,T109
T105,T110
T44,T110
T91,T110
T11,T110
T26,T110
T62,T111
T57,T112
T105,T112
T21,T112
T40,T112
T62,T113
T20,T113
T8,T114
T89,T115
T35,T115
T81,T115
T70,T115
T38,T120
T14,T120
T66,T120
T114,T120
T19,T121
T1,T121
T117,T121
T4,T122
T55,T123
T19,T124
T46,T124
T84,T124
T29,T125
T118,T125
T50,T126
T88,T126
T114,T126
T92,T126
T106,T126
T22,T128
T127,T128
T15,T128
T27,T129
T92,T130
T20,T130
T86,T131
T31,T131
T93,T131
T22,T131
T39,T133
T46,T133
T110,T133
T86,T133
T47,T134
T109,T134
T39,T134
T78,T134
T74,T135
T90,T135
T27,T135
T70,T135
T95,T136
T68,T136
T20,T136
T38,T138
T38,T139
T100,T139
T123,T140
T18,T140
T29,T140
T110,T141
T72,T141
T38,T141
T24,T141
T33,T142
T47,T142
T91,T143
T82,T143
T127,T143
T124,T144
T106,T144
T86,T144
T63,T145
T108,T146
T141,T146
T128,T146
T137,T147
T127,T147
T138,T147
T59,T147
T22,T148
T108,T148
T135,T148
T57,T149
T23,T149
T61,T149
T93,T149
T5,T151
T143,T152
T122,T152
T29,T153
T93,T155
T36,T155
T118,T156
T37,T156
T108,T157
T63,T157
T54,T157
T58,T157
T36,T159
T31,T159
T37,T159
T97,T159
T7,T159
T109,T160
T96,T160
T14,T160
T28,T160
T149,T160
T153,T162
T41,T162
T8,T162
T94,T163
T21,T164
T20,T165
T107,T167
T39,T167
T47,T167
T121,T167
T36,T168
T136,T168
T77,T168
T121,T168
T106,T168
T87,T169
T114,T169
T166,T169
T4,T169
T74,T169
T16,T171
T9,T172
T155,T172
T45,T172
T129,T172
T42,T172
T109,T174
T117,T174
T142,T174
T67,T175
T147,T175
T129,T175
T79,T175
T59,T175
T41,T176
T70,T176
T24,T176
T97,T177
T33,T177
T55,T177
T103,T177
T15,T178
T57,T178
T101,T178
T48,T178
T144,T179
T155,T179
T20,T179
T178,T179
T120,T179
T81,T180
T168,T180
T165,T180
T98,T181
T43,T181
T14,T181
T166,T182
T109,T182
T70,T183
T155,T187
T86,T187
T73,T189
T139,T190
T153,T193
T49,T195
T142,T195
T164,T196
T69,T198
T145,T200
T12,T200
T124,T200
T13,T200
T24,T201
T80,T201
T193,T203
T73,T203
T129,T204
T50,T204
T81,T204
T186,T205
T92,T205
T34,T205
T173,T206
T25,T206
T85,T206
T105,T206
T190,T206
T26,T207
T129,T207
T199,T207
T39,T207
T204,T209
T98,T209
T123,T209
T151,T209
T42,T211
T39,T211
T119,T212
T21,T212
T161,T212
T24,T212
T184,T212
T56,T213
T168,T214
T37,T214
T197,T214
T184,T214
T42,T214
T133,T215
T187,T215
T156,T215
T167,T215
T197,T216
T88,T216
T115,T216
T202,T216
T87,T217
T93,T218
T160,T218
T11,T219
T183,T219
T199,T219
T100,T220
T62,T220
T54,T220
T157,T220
T156,T220
T146,T222
T128,T223
T25,T223
T207,T223
T4,T223
T37,T223
T141,T224
T223,T224
T25,T226
T117,T226
T81,T226
T76,T227
T18,T228
T148,T229
T94,T229
T23,T230
T19,T230
T182,T231
T67,T232
T122,T232
T66,T232
T167,T233
T36,T233
T32,T233
T125,T234
T11,T234
T94,T234
T220,T234
T103,T235
T105,T235
T235,T236
T175,T236
T34,T236
T113,T236
T132,T237
T217,T237
T81,T238
T96,T238
T22,T238
T175,T238
T130,T239
T116,T239
T68,T239
T11,T240
T159,T240
T165,T240
T15,T240
T190,T240
T180,T241
T3,T242
T40,T242
T219,T242
T27,T242
T97,T243
T41,T243
T103,T244
T219,T244
T19,T244
T58,T244
T224,T245
T119,T245
T172,T245
T120,T247
T165,T247
T231,T248
T210,T248
T120,T248
T28,T248
T188,T250
T197,T252
T111,T252
T52,T252
T85,T253
T17,T253
T82,T253
T155,T254
T125,T254
T180,T255
T122,T256
T30,T256
T72,T256
T117,T256
T10,T256
T80,T257
T241,T257
T75,T257
T110,T257
T17,T258
T195,T258
T221,T260
T243,T260
T28,T261
T12,T262
T217,T263
T139,T263
T130,T263
T91,T263
T43,T263
T36,T264
T208,T265
T42,T265
T232,T266
T215,T266
T110,T267
T133,T267
T95,T267
T28,T267
T176,T269
T153,T269
T85,T269
T179,T270
T247,T271
T244,T271
T83,T271
T224,T272
T182,T272
T200,T272
T6,T272
T102,T272
T75,T274
T166,T274
T163,T274
T8,T274
T78,T274
T76,T275
T256,T275
T163,T275
T209,T277
T135,T277
T267,T277
T2,T277
T231,T277
T231,T278
T50,T279
T19,T279
T112,T279
T97,T279
T216,T279
T86,T280
T194,T280
T111,T280
T179,T280
T108,T280
T8,T281
T187,T282
T9,T282
T158,T283
T258,T283
T256,T285
T234,T285
T212,T285
T211,T285
T181,T285
T278,T286
T219,T286
T172,T287
T59,T287
T91,T287
T235,T287
T192,T288
T91,T288
T284,T288
T84,T289
T278,T289
T224,T289
T196,T289
T224,T290
T146,T290
T51,T291
T45,T291
T54,T291
T46,T291
T9,T291
T211,T292
T54,T292
T255,T292
T279,T292
T228,T294
T258,T294
T17,T294
T149,T294
T216,T294
T115,T295
T283,T296
T196,T296
T59,T296
T241,T297
T238,T299
T212,T299
T203,T300
T4,T300
T192,T300
T115,T300
T260,T300
T138,T301
T136,T301
T213,T302
T124,T302
T17,T304
T8,T304
T14,T304
T192,T305
T163,T306
T172,T306
T88,T306
T293,T306
T124,T307
T285,T307
T201,T307
T202,T308
T220,T310
T66,T310
T200,T310
T89,T310
T163,T311
T265,T311
T82,T311
T119,T312
T51,T312
T65,T312
T61,T313
T296,T313
T201,T313
T134,T313
T82,T314
T166,T314
T105,T314
T48,T314
T6,T317
T304,T317
T79,T317
T279,T319
T41,T319
T293,T319
T196,T319
T67,T321
T233,T321
T184,T321
T96,T321
T123,T321
T114,T322
T153,T322
T100,T322
T275,T322
T126,T322
T194,T323
T134,T323
T27,T323
T141,T323
T43,T323
T322,T324
T297,T326
T53,T326
T57,T326
T236,T326
T306,T326
T145,T329
T93,T330
T48,T330
T186,T332
T107,T332
T201,T332
T12,T334
T212,T334
T38,T334
T321,T335
T40,T335
T108,T335
T215,T336
T193,T336
T161,T336
T325,T336
T231,T336
T93,T337
T6,T338
T92,T338
T291,T339
T324,T339
T311,T339
T17,T339
T61,T339
T178,T340
T248,T340
T308,T341
T280,T341
T3,T341
T82,T341
T131,T342
T63,T342
T99,T342
T311,T342
T12,T344
T266,T344
T263,T344
T79,T344
T187,T345
T16,T347
T71,T348
T113,T348
T65,T350
T138,T350
T141,T350
T247,T350
T103,T350
T283,T352
T334,T352
T240,T353
T254,T353
T263,T354
T205,T354
T99,T354
T89,T355
T102,T355
T144,T356
T202,T356
T53,T356
T299,T356
T301,T356
T85,T357
T106,T357
T250,T358
T222,T358
T229,T358
T217,T358
T306,T358
T140,T359
T164,T359
T319,T359
T56,T359
T311,T359
T220,T360
T103,T360
T291,T360
T192,T361
T324,T361
T86,T363
T18,T363
T262,T363
T301,T364
T210,T364
T310,T365
T331,T365
T181,T366
T204,T366
T16,T366
T59,T366
T166,T367
T96,T368
T184,T368
T126,T368
T337,T370
T191,T371
T75,T371
T63,T372
T5,T372
T353,T373
T6,T373
T169,T374
T110,T374
T239,T374
T291,T374
T165,T374
T288,T375
T146,T377
T309,T377
T109,T377
T112,T378
T53,T378
T288,T378
T143,T378
T312,T379
T344,T379
T39,T379
T294,T379
T331,T379
T350,T380
T223,T380
T163,T380
T102,T381
T101,T381
T256,T383
T24,T383
T141,T383
T62,T384
T64,T384
T232,T384
T308,T385
T303,T386
T197,T386
T296,T387
T10,T389
T330,T389
T3,T390
T237,T390
T146,T390
T68,T390
T19,T391
T274,T391
T271,T391
T331,T393
T9,T393
T49,T395
T213,T395
T371,T395
T141,T396
T163,T396
T205,T397
T41,T397
T397,T398
T161,T398
T253,T398
T314,T398
T153,T400
T357,T400
T233,T400
T329,T401
T63,T401
T192,T401
T53,T402
T15,T402
T115,T402
T25,T402
T54,T404
T353,T405
T371,T405
T116,T406
T88,T406
T46,T406
T371,T407
T276,T408
T3,T408
T27,T409
T133,T409
T402,T409
T23,T409
T57,T409
T39,T411
T136,T411
T353,T412
T314,T412
T139,T413
T358,T413
T88,T413
T299,T414
T62,T415
T65,T415
T164,T415
T386,T416
T212,T417
T327,T417
T229,T417
T343,T417
T271,T419
T124,T419
T296,T419
T245,T419
T251,T420
T144,T420
T165,T420
T396,T420
T375,T420
T116,T421
T48,T421
T136,T421
T365,T422
T43,T422
T286,T423
T125,T423
T332,T424
T377,T424
T106,T424
T356,T424
T40,T424
T31,T426
T109,T426
T7,T426
T111,T427
T240,T427
T420,T427
T198,T427
T97,T427
T54,T428
T175,T428
T107,T428
T390,T429
T271,T429
T264,T429
T161,T429
T363,T430
T233,T430
T79,T431
T259,T431
T55,T431
T67,T431
T113,T431
T198,T432
T232,T432
T263,T433
T104,T433
T400,T433
T205,T433
T36,T434
T217,T435
T85,T435
T158,T436
T296,T436
T332,T436
T53,T436
T76,T436
T55,T437
T382,T437
T57,T437
T9,T438
T96,T439
T137,T439
T15,T439
T339,T440
T272,T440
T232,T440
T136,T441
T61,T441
T44,T442
T182,T442
T221,T442
T109,T442
T204,T443
T221,T444
T261,T444
T171,T444
T28,T444
T140,T445
T190,T445
T51,T445
T196,T447
T375,T447
T217,T447
T100,T447
T151,T447
T207,T448
T305,T449
T272,T450
T312,T450
T266,T451
T222,T451
T56,T451
T26,T452
T331,T452
T128,T452
T57,T452
T113,T452
T137,T456
T123,T456
T34,T456
T273,T456
T116,T458
T452,T458
T359,T459
T367,T459
T208,T459
T201,T459
T52,T460
T113,T460
T376,T460
T138,T461
T254,T461
T106,T461
T88,T461
T403,T461
T178,T462
T148,T463
T362,T463
T306,T463
T376,T463
T2,T463
T258,T465
T319,T466
T245,T466
T379,T466
T157,T466
T437,T466
T123,T467
T88,T467
T162,T467
T349,T467
T36,T467
T96,T468
T461,T469
T234,T469
T7,T470
T243,T471
T220,T471
T172,T471
T11,T471
T91,T471
T452,T472
T40,T472
T348,T473
T181,T475
T243,T475
T299,T475
T1,T475
T448,T476
T127,T476
T242,T476
T349,T480
T149,T480
T428,T480
T117,T480
T258,T481
T86,T481
T387,T481
T76,T481
T412,T484
T377,T484
T232,T485
T252,T485
T180,T486
T280,T486
T132,T486
T340,T486
T250,T486
T187,T487
T235,T487
T155,T489
T364,T489
T457,T490
T266,T490
T439,T491
T443,T491
T462,T491
T432,T491
T306,T491
T58,T492
T139,T492
T352,T492
T373,T493
T328,T493
T11,T493
T76,T493
T439,T494
T113,T494
T338,T494
T183,T495
T16,T496
T126,T496
T296,T496
T357,T497
T221,T497
T185,T497
T106,T497
T382,T497
T472,T499
T328,T500
T56,T500
T495,T500
T450,T501
T321,T501
T279,T502
T461,T502
T468,T502
T231,T502
T491,T502
T90,T503
T136,T503
T467,T503
T348,T503
T455,T504
T170,T504
T302,T505
T214,T505
T484,T505
T159,T506
T98,T506
T267,T508
T360,T508
T176,T508
T428,T508
T63,T509
T222,T509
T408,T509
T233,T509
T496,T510
T406,T510
T178,T510
T148,T510
T151,T513
T478,T513
T154,T513
T297,T514
T167,T514
T311,T514
T499,T514
T67,T515
T302,T515
T42,T517
T223,T517
T290,T517
T127,T518
T55,T518
T501,T518
T314,T518
T361,T520
T1,T520
T52,T520
T142,T521
T359,T521
T515,T522
T159,T522
T278,T524
T147,T524
T202,T524
T443,T524
T83,T524
T225,T525
T33,T525
T364,T526
T255,T526
T396,T526
T409,T527
T101,T527
T268,T527
T319,T528
T178,T528
T447,T529
T331,T529
T143,T529
T205,T529
T139,T530
T427,T530
T205,T531
T309,T531
T313,T531
T88,T531
T473,T532
T188,T532
T448,T533
T99,T533
T142,T533
T453,T534
T321,T534
T516,T534
T367,T534
T363,T535
T438,T535
T478,T535
T421,T536
T473,T536
T29,T536
T28,T537
T432,T537
T91,T537
T144,T537
T310,T538
T249,T538
T525,T538
T383,T538
T301,T539
T129,T541
T413,T541
T7,T541
T531,T542
T472,T542
T56,T542
T110,T545
T342,T545
T100,T546
T298,T546
T494,T546
T340,T546
T524,T549
T55,T549
T210,T549
T529,T549
T148,T549
T508,T550
T140,T550
T229,T550
T159,T550
T319,T551
T7,T551
T206,T552
T118,T552
T69,T552
T124,T554
T100,T555
T254,T555
T210,T555
T107,T555
T26,T556
T518,T556
T455,T556
T57,T557
T125,T557
T308,T557
T496,T558
T189,T558
T241,T558
T267,T559
T450,T559
T127,T559
T443,T559
T23,T560
T146,T561
T247,T562
T175,T562
T524,T562
T560,T562
T206,T562
T492,T563
T297,T563
T103,T563
T505,T564
T377,T564
T282,T564
T401,T564
T110,T565
T476,T565
T427,T565
T152,T566
T29,T566
T291,T566
T124,T567
T399,T567
T12,T567
T311,T568
T35,T568
T456,T568
T44,T568
T143,T569
T480,T569
T470,T570
T284,T570
T10,T570
T163,T570
T367,T570
T516,T571
T216,T571
T358,T571
T538,T571
T526,T572
T65,T572
T179,T572
T156,T573
T361,T573
T348,T573
T471,T573
T144,T573
T311,T574
T404,T574
T496,T576
T386,T576
T484,T576
T185,T576
T520,T576
T539,T577
T266,T577
T133,T577
T332,T577
T357,T577
T414,T578
T70,T578
T47,T578
T31,T578
T163,T579
T238,T579
T99,T579
T109,T579
T512,T579
T488,T580
T332,T580
T238,T580
T243,T580
T108,T580
T394,T581
T66,T582
T64,T582
T257,T582
T75,T585
T453,T585
T384,T585
T31,T585
T179,T585
T111,T586
T461,T586
T137,T587
T570,T587
T205,T587
T259,T588
T449,T589
T293,T589
T231,T589
T166,T590
T542,T591
T197,T591
T89,T591
T25,T592
T99,T592
T209,T592
T35,T592
T6,T593
T418,T594
T582,T594
T74,T595
T349,T595
T190,T595
T541,T595
T195,T596
T213,T596
T585,T596
T513,T597
T361,T597
T366,T597
T573,T598
T142,T598
T69,T598
T450,T598
T386,T599
T73,T599
T583,T599
T530,T601
T104,T602
T121,T602
T237,T603
T53,T603
T554,T603
T24,T604
T230,T604
T258,T605
T400,T605
T367,T606
T70,T606
T162,T606
T295,T606
T77,T606
T590,T607
T248,T607
T531,T607
T513,T607
T409,T608
T59,T608
T114,T609
T597,T609
T483,T609
T270,T609
T31,T610
T34,T610
T347,T610
T432,T610
T268,T610
T343,T611
T210,T613
T338,T614
T64,T614
T242,T614
T506,T614
T37,T616
T355,T616
T73,T616
T427,T616
T83,T617
T565,T617
T491,T617
T133,T617
T43,T618
T107,T618
T520,T620
T231,T620
T359,T620
T490,T621
T311,T621
T234,T621
T548,T625
T389,T626
T19,T626
T566,T626
T494,T626
T387,T628
T129,T628
T441,T628
T438,T629
T563,T629
T142,T629
T119,T629
T449,T629
T377,T631
T361,T631
T199,T631
T352,T631
T60,T632
T244,T632
T238,T632
T11,T634
T233,T634
T423,T634
T550,T634
T47,T635
T16,T635
T256,T635
T59,T635
T450,T638
T290,T639
T359,T641
T617,T641
T251,T642
T300,T642
T133,T642
T621,T642
T408,T642
T126,T643
T79,T643
T257,T643
T211,T644
T507,T644
T366,T644
T226,T644
T310,T645
T376,T645
T565,T645
T251,T646
T540,T646
T327,T647
T555,T647
T107,T648
T56,T648
T355,T648
T421,T648
T637,T649
T498,T649
T287,T649
T81,T649
T209,T649
T534,T650
T313,T651
T567,T652
T216,T652
T126,T652
T382,T652
T146,T652
T451,T654
T465,T655
T117,T655
T22,T655
T511,T655
T35,T655
T285,T656
T603,T656
T308,T657
T87,T657
T62,T657
T625,T658
T394,T658
T20,T659
T392,T659
T394,T659
T46,T660
T230,T660
T211,T660
T189,T661
T442,T661
T546,T661
T313,T663
T33,T663
T555,T663
T357,T663
T27,T663
T345,T664
T269,T664
T606,T664
T222,T664
T637,T666
T445,T666
T59,T667
T112,T667
T567,T667
T295,T668
T548,T668
T475,T668
T587,T669
T582,T669
T532,T669
T167,T670
T391,T670
T244,T671
T136,T671
T16,T671
T281,T672
T88,T672
T556,T673
T346,T674
T585,T674
T40,T675
T631,T675
T281,T675
T276,T676
T257,T676
T623,T677
T13,T677
T128,T677
T315,T677
T583,T677
T329,T678
T271,T678
T184,T678
T455,T678
T474,T678
T10,T680
T478,T680
T38,T680
T492,T681
T654,T681
T224,T682
T419,T682
T60,T682
T594,T682
T625,T684
T565,T684
T66,T685
T452,T685
T265,T686
T266,T687
T507,T687
T233,T688
T179,T689
T151,T689
T633,T689
T672,T689
T51,T689
T118,T690
T40,T691
T189,T691
T519,T691
T451,T691
T594,T691
T43,T692
T567,T692
T234,T693
T63,T693
T266,T693
T264,T693
T17,T693
T362,T694
T554,T694
T46,T694
T615,T694
T241,T694
T112,T695
T80,T695
T455,T696
T116,T696
T524,T696
T80,T696
T209,T697
T585,T698
T381,T698
T426,T699
T74,T699
T658,T699
T437,T699
T290,T699
T26,T700
T622,T701
T369,T701
T418,T702
T668,T702
T482,T703
T302,T703
T32,T704
T165,T704
T378,T704
T46,T704
T154,T705
T606,T705
T217,T708
T321,T708
T524,T708
T521,T708
T353,T709
T221,T709
T388,T709
T597,T709
T154,T711
T391,T711
T665,T711
T81,T711
T80,T711
T579,T712
T589,T713
T646,T713
T562,T713
T429,T713
T125,T714
T541,T714
T53,T714
T622,T714
T676,T715
T538,T715
T533,T715
T325,T716
T276,T716
T200,T716
T301,T717
T250,T717
T337,T717
T249,T717
T237,T718
T467,T718
T119,T719
T710,T719
T456,T720
T420,T721
T371,T721
T82,T721
T361,T721
T574,T721
T79,T722
T371,T722
T670,T722
T496,T722
T236,T723
T460,T723
T429,T723
T584,T723
T551,T724
T418,T725
T599,T726
T682,T726
T142,T726
T621,T726
T267,T726
T350,T727
T322,T727
T432,T730
T518,T730
T152,T730
T507,T731
T648,T731
T203,T731
T185,T731
T16,T732
T171,T732
T124,T732
T270,T733
T568,T733
T729,T733
T104,T734
T130,T734
T35,T734
T25,T735
T707,T735
T171,T735
T528,T737
T398,T738
T433,T738
T363,T738
T131,T738
T714,T739
T571,T739
T248,T739
T301,T740
T122,T740
T345,T740
T606,T740
T624,T740
T111,T741
T740,T741
T47,T741
T76,T741
T364,T742
T460,T742
T419,T742
T646,T742
T461,T742
T447,T743
T297,T743
T489,T743
T717,T743
T138,T743
T188,T744
T742,T744
T604,T744
T522,T744
T86,T744
T8,T745
T608,T746
T379,T746
T691,T746
T665,T746
T389,T747
T329,T747
T450,T747
T521,T748
T603,T749
T287,T749
T100,T749
T238,T749
T305,T749
T350,T750
T50,T750
T578,T750
T538,T751
T594,T751
T521,T751
T437,T751
T331,T752
T394,T752
T183,T753
T147,T753
T749,T755
T216,T755
T441,T755
T532,T755
T285,T755
T631,T756
T322,T756
T102,T756
T356,T756
T170,T757
T122,T757
T281,T758
T499,T758
T230,T759
T174,T759
T296,T759
T621,T760
T109,T760
T683,T761
T145,T762
T99,T762
T566,T763
T173,T764
T29,T764
T613,T764
T41,T764
T551,T765
T200,T765
T7,T765
T501,T765
T209,T767
T289,T767
T437,T768
T750,T768
T456,T768
T534,T768
T465,T769
T113,T770
T734,T770
T123,T771
T456,T771
T443,T771
T506,T771
T270,T771
T286,T773
T685,T774
T120,T774
T363,T774
T81,T774
T763,T774
T745,T775
T161,T777
T520,T777
T283,T778
T465,T778
T754,T779
T526,T779
T689,T779
T76,T779
T724,T779
T323,T780
T40,T780
T444,T780
T103,T780
T723,T780
T326,T781
T195,T781
T572,T781
T677,T781
T37,T782
T650,T782
T643,T782
T9,T782
T252,T782
T601,T783
T226,T784
T690,T784
T201,T784
T482,T785
T156,T785
T192,T786
T752,T786
T509,T786
T135,T787
T204,T787
T91,T788
T529,T788
T741,T788
T768,T788
T220,T788
T69,T790
T503,T790
T572,T790
T214,T791
T728,T791
T183,T791
T40,T791
T705,T792
T270,T792
T629,T792
T647,T793
T598,T793
T241,T793
T358,T794
T496,T794
T544,T794
T673,T794
T185,T794
T238,T795
T300,T795
T497,T796
T502,T796
T646,T796
T402,T796
T613,T796
T557,T797
T493,T797
T99,T798
T225,T798
T430,T800
T458,T800
T254,T801
T679,T801
T119,T802
T181,T802
T476,T802
T677,T803
T117,T803
T714,T804
T408,T804
T132,T805
T793,T805
T496,T805
T501,T805
T616,T805
T704,T806
T241,T806
T30,T806
T275,T807
T520,T807
T802,T808
T63,T809
T576,T809
T791,T809
T268,T810
T692,T810
T422,T811
T401,T811
T436,T812
T409,T812
T267,T812
T498,T814
T746,T814
T348,T815
T47,T816
T316,T816
T459,T816
T420,T816
T227,T816
T171,T817
T549,T817
T212,T817
T799,T817
T113,T818
T629,T818
T626,T818
T338,T818
T133,T818
T553,T819
T21,T819
T740,T819
T22,T819
T93,T820
T800,T820
T722,T820
T362,T821
T786,T821
T65,T822
T671,T822
T51,T822
T532,T822
T371,T823
T204,T824
T161,T824
T549,T824
T406,T824
T235,T825
T298,T825
T821,T825
T166,T825
T383,T825
T424,T826
T221,T826
T751,T827
T255,T827
T14,T827
T37,T827
T105,T829
T514,T829
T408,T829
T811,T829
T44,T830
T161,T830
T290,T830
T25,T831
T236,T831
T791,T832
T705,T832
T254,T832
T35,T832
T279,T832
T127,T833
T803,T833
T387,T833
T672,T833
T411,T833
T759,T834
T87,T835
T79,T835
T740,T837
T721,T837
T781,T837
T751,T837
T21,T838
T16,T838
T761,T838
T620,T839
T156,T839
T98,T839
T754,T839
T812,T840
T401,T840
T199,T840
T621,T840
T804,T841
T332,T841
T525,T842
T762,T842
T24,T842
T281,T843
T470,T843
T103,T844
T672,T845
T591,T845
T386,T846
T299,T846
T440,T846
T417,T848
T286,T849
T495,T849
T292,T849
T720,T849
T519,T850
T251,T850
T392,T850
T18,T850
T746,T851
T404,T851
T382,T851
T732,T852
T111,T852
T464,T852
T230,T852
T26,T853
T407,T853
T790,T853
T238,T853
T379,T854
T489,T854
T577,T854
T319,T856
T341,T856
T148,T856
T830,T856
T646,T856
T174,T859
T213,T859
T502,T859
T608,T859
T86,T860
T413,T861
T859,T862
T485,T862
T536,T862
T741,T862
T779,T863
T239,T863
T61,T863
T786,T863
T259,T864
T422,T864
T319,T864
T346,T865
T855,T865
T155,T865
T38,T865
T330,T865
T579,T866
T614,T866
T417,T866
T6,T866
T275,T866
T215,T867
T774,T867
T576,T867
T814,T867
T501,T867
T512,T868
T321,T868
T668,T868
T242,T868
T473,T869
T726,T869
T527,T870
T569,T870
T758,T870
T84,T871
T108,T871
T436,T871
T717,T871
T80,T871
T131,T872
T776,T872
T14,T872
T533,T873
T125,T874
T171,T874
T203,T874
T449,T874
T117,T874
T508,T876
T175,T876
T642,T876
T499,T877
T144,T877
T767,T877
T561,T877
T409,T878
T10,T878
T304,T878
T302,T880
T738,T880
T693,T880
T536,T881
T331,T881
T381,T882
T578,T882
T666,T882
T170,T882
T298,T883
T702,T884
T210,T884
T823,T884
T629,T884
T381,T885
T532,T885
T620,T885
T258,T885
T484,T885
T216,T886
T339,T886
T765,T886
T873,T887
T139,T887
T169,T887
T537,T887
T733,T887
T11,T888
T326,T888
T427,T888
T154,T889
T69,T890
T6,T890
T320,T890
T193,T891
T205,T891
T711,T891
T97,T891
T551,T891
T339,T892
T97,T892
T63,T892
T480,T893
T609,T893
T161,T893
T69,T893
T652,T894
T573,T894
T354,T895
T15,T896
T198,T896
T282,T896
T292,T896
T841,T896
T599,T897
T747,T897
T314,T897
T640,T898
T786,T898
T261,T899
T575,T899
T555,T899
T676,T900
T208,T900
T80,T900
T607,T900
T157,T900
T222,T902
T287,T902
T183,T902
T270,T902
T578,T902
T817,T904
T602,T905
T661,T905
T785,T905
T393,T905
T590,T906
T791,T906
T620,T907
T284,T907
T827,T907
T755,T907
T685,T908
T485,T908
T215,T908
T173,T908
T222,T910
T151,T912
T147,T912
T169,T912
T487,T912
T80,T914
T54,T914
T524,T915
T436,T916
T681,T916
T484,T916
T310,T917
T513,T917
T574,T919
T387,T920
T793,T920
T395,T920
T486,T921
T364,T921
T320,T921
T859,T921
T535,T921
T544,T922
T81,T922
T863,T923
T220,T923
T171,T923
T649,T923
T729,T924
T147,T924
T574,T925
T453,T925
T502,T925
T808,T926
T257,T926
T702,T926
T124,T926
T572,T926
T668,T927
T357,T927
T183,T927
T876,T929
T478,T929
T355,T930
T746,T930
T435,T930
T219,T930
T632,T930
T898,T931
T196,T931
T392,T931
T384,T931
T766,T932
T453,T934
T539,T935
T200,T935
T318,T937
T337,T937
T97,T937
T933,T937
T260,T938
T515,T938
T280,T940
T35,T940
T663,T940
T282,T940
T491,T941
T408,T941
T45,T941
T713,T941
T722,T941
T281,T942
T641,T942
T844,T944
T32,T944
T884,T944
T736,T944
T623,T945
T648,T945
T466,T945
T178,T946
T485,T946
T768,T946
T769,T947
T559,T947
T827,T947
T107,T947
T40,T947
T30,T948
T628,T948
