task_id,base_runtime
T633,79
T634,91
T635,129
T636,77
T637,198
T638,56
T639,129
T640,197
T641,146
T642,151
T643,100
T644,69
T645,112
T646,76
T647,127
T648,80
T649,194
T650,60
T651,138
T652,186
T653,159
T654,144
T655,67
T656,179
T657,137
T658,53
T659,157
T660,175
T661,77
T662,160
T663,142
T664,167
T665,89
T666,161
T667,95
T668,183
T669,119
T670,187
T671,173
T672,169
T673,161
T674,118
T675,132
T676,112
T677,72
T678,121
T679,165
T680,112
T681,168
T682,195
T683,147
T684,136
T685,57
T686,176
T687,133
T688,96
T689,174
T690,104
T691,140
T692,116
T693,137
T694,121
T695,120
T696,192
T697,52
T698,182
T699,98
T700,71
T701,111
T702,154
T703,175
T704,192
T705,111
T706,171
T707,175
T708,164
T709,54
T710,73
T711,125
T712,106
T713,153
T714,112
T715,128
T716,198
T717,144
T718,171
T719,191
T720,185
T721,138
T722,158
T723,190
T724,134
T725,140
T726,166
T727,119
T728,128
T729,114
T730,109
T731,80
T732,99
T733,130
T734,80
T735,187
T736,97
T737,99
T738,105
T739,173
T740,120
T741,200
T742,184
T743,122
T744,75
T745,99
T746,125
T747,108
T748,142
T749,95
T750,127
T751,53
T752,186
T753,82
T754,120
T755,61
T756,63
T757,191
T758,124
T759,82
T760,175
T761,76
T762,53
T763,196
T764,122
T765,170
T766,172
T767,162
T768,137
T769,97
T770,63
T771,114
T772,172
T773,79
T774,66
T775,152
T776,175
T777,68
T778,197
T779,63
T780,88
T781,88
T782,194
T783,127
T784,71
T785,113
T786,80
T787,192
T788,156
T789,107
T790,183
T791,147
T792,165
T793,163
T794,126
T795,200
T796,159
T797,128
T798,195
T799,65
T800,75
T801,103
T802,104
T803,117
T804,70
T805,90
T806,111
T807,94
T808,191
T809,69
T810,90
T811,50
T812,154
T813,165
T814,170
T815,124
T816,58
T817,109
T818,123
T819,122
T820,166
T821,68
T822,109
T823,117
T824,200
T825,100
T826,158
T827,79
T828,189
T829,107
T830,88
T831,118
T832,86
T833,68
T834,65
T835,92
T836,128
T837,195
T838,123
T839,162
T840,81
T841,169
T842,127
T843,153
T844,119
T845,178
T846,188
T847,176
T848,162
T849,70
T850,60
T851,160
T852,132
T853,114
T854,56
T855,73
T856,108
T857,197
T858,200
T859,55
T860,118
T861,197
T862,60
T863,94
T864,170
T865,182
T866,163
T867,121
T868,96
T869,199
T870,161
T871,175
T872,73
T873,170
T874,139
T875,154
T876,135
T877,132
T878,76
T879,91
T880,134
T881,155
T882,176
T883,123
T884,152
T885,190
T886,59
T887,166
T888,72
T889,130
T890,114
T891,132
T892,79
T893,153
T894,181
T895,50
T896,188
T897,168
T898,155
T899,63
T900,98
T901,182
T902,142
T903,177
T904,163
T905,63
T906,102
T907,118
T908,190
T909,83
T910,123
T911,162
T912,174
T913,81
T914,57
T915,111
T916,90
T917,129
T918,191
T919,53
T920,191
T921,154
T922,73
T923,107
T924,79
T925,168
T926,80
T927,89
T928,177
T929,124
T930,180
T931,119
T932,156
T933,173
T934,170
T935,112
T936,166
T937,191
T938,87
T939,148
T940,98
T941,180
T942,84
T943,67
T944,120
T945,156
T946,137
T947,179
T948,118
T949,50
T950,122
T951,126
T952,200
T953,198
T954,175
T955,88
T956,164
T957,187
T958,173
T959,138
T960,135
T961,191
T962,189
T963,146
T964,166
T965,132
T966,98
T967,111
T968,196
T969,148
T970,109
T971,155
T972,61
T973,131
T974,171
T975,147
T976,148
T977,88
T978,176
T979,59
T980,82
T981,178
T982,134
T983,75
T984,162
T985,75
T986,184
T987,166
T988,53
T989,86
T990,154
T991,89
T992,69
T993,170
T994,117
T995,136
T996,151
T997,70
T998,134
T999,186
T1000,147
T1001,131
T1002,174
T1003,188
T1004,59
T1005,67
T1006,110
T1007,123
T1008,108
T1009,73
T1010,161
T1011,75
T1012,75
T1013,163
T1014,92
T1015,126
T1016,57
T1017,61
T1018,133
T1019,64
T1020,125
T1021,141
T1022,145
T1023,160
T1024,87
T1025,112
T1026,185
T1027,155
T1028,194
T1029,96
T1030,93
T1031,94
T1032,70
T1033,147
T1034,111
T1035,177
T1036,199
T1037,86
T1038,109
T1039,168
T1040,115
T1041,167
T1042,115
T1043,52
T1044,169
T1045,123
T1046,189
T1047,90
T1048,68
T1049,163
T1050,138
T1051,200
T1052,126
T1053,158
T1054,114
T1055,166
T1056,127
T1057,100
T1058,148
T1059,173
T1060,77
T1061,110
T1062,147
T1063,196
T1064,141
T1065,197
T1066,125
T1067,125
T1068,55
T1069,151
T1070,120
T1071,52
T1072,194
T1073,62
T1074,177
T1075,123
T1076,108
T1077,140
T1078,106
T1079,98
T1080,114
T1081,85
T1082,74
T1083,60
T1084,129
T1085,162
T1086,58
T1087,198
T1088,143
T1089,83
T1090,73
T1091,125
T1092,133
T1093,156
T1094,94
T1095,101
T1096,83
T1097,188
T1098,143
T1099,185
T1100,178
T1101,119
T1102,92
T1103,115
T1104,173
T1105,125
T1106,136
T1107,79
T1108,169
T1109,69
T1110,86
T1111,107
T1112,151
T1113,192
T1114,143
T1115,73
T1116,151
T1117,53
T1118,117
T1119,187
T1120,81
T1121,166
T1122,144
T1123,117
T1124,199
T1125,147
T1126,145
T1127,77
T1128,109
T1129,170
T1130,56
T1131,193
T1132,133
T1133,106
T1134,66
T1135,168
T1136,127
T1137,154
T1138,79
T1139,85
T1140,61
T1141,59
T1142,127
T1143,176
T1144,79
T1145,74
T1146,110
T1147,187
T1148,84
T1149,149
T1150,166
T1151,144
T1152,188
T1153,157
T1154,200
T1155,89
T1156,156
T1157,75
T1158,175
T1159,154
T1160,121
T1161,58
T1162,144
T1163,105
T1164,163
T1165,163
T1166,110
T1167,142
T1168,75
T1169,144
T1170,189
T1171,141
T1172,65
T1173,151
T1174,120
T1175,98
T1176,81
T1177,166
T1178,73
T1179,104
T1180,55
T1181,62
T1182,135
T1183,112
T1184,82
T1185,194
T1186,102
T1187,67
T1188,191
T1189,103
T1190,200
T1191,105
T1192,109
T1193,134
T1194,87
T1195,50
T1196,120
T1197,87
T1198,83
T1199,188
T1200,114
T1201,94
T1202,78
T1203,56
T1204,83
T1205,53
T1206,141
T1207,110
T1208,200
T1209,132
T1210,54
T1211,94
T1212,117
T1213,63
T1214,82
T1215,157
T1216,184
T1217,79
T1218,66
T1219,171
T1220,164
T1221,142
T1222,181
T1223,77
T1224,165
T1225,178
T1226,106
T1227,61
T1228,183
T1229,127
T1230,167
T1231,57
T1232,65
T1233,172
T1234,152
T1235,159
T1236,77
T1237,175
T1238,163
T1239,68
T1240,70
T1241,132
T1242,87
T1243,66
T1244,82
T1245,120
T1246,199
T1247,190
T1248,133
T1249,147
T1250,185
T1251,125
T1252,166
T1253,179
T1254,160
T1255,75
T1256,79
T1257,191
T1258,105
T1259,160
T1260,165
T1261,108
T1262,155
T1263,136
T1264,166
T1265,152
T1266,156
T1267,74
T1268,130
T1269,159
T1270,130
T1271,115
T1272,145
T1273,89
T1274,171
T1275,67
T1276,73
T1277,71
T1278,73
T1279,160
T1280,74
T1281,145
T1282,83
T1283,192
T1284,65
T1285,200
T1286,193
T1287,193
T1288,134
T1289,81
T1290,155
T1291,140
T1292,158
T1293,63
T1294,123
T1295,129
T1296,140
T1297,76
T1298,197
T1299,179
T1300,104
T1301,89
T1302,173
T1303,107
T1304,77
T1305,139
T1306,192
T1307,144
T1308,79
T1309,121
T1310,196
T1311,107
T1312,159
T1313,193
T1314,192
T1315,56
T1316,118
T1317,57
T1318,96
T1319,119
T1320,129
T1321,136
T1322,139
T1323,51
T1324,96
T1325,86
T1326,194
T1327,152
T1328,67
T1329,86
T1330,57
T1331,73
T1332,185
T1333,105
T1334,146
T1335,157
T1336,166
T1337,137
T1338,90
T1339,144
T1340,129
T1341,133
T1342,195
T1343,71
T1344,63
T1345,89
T1346,90
T1347,62
T1348,70
T1349,119
T1350,163
T1351,158
T1352,174
T1353,163
T1354,156
T1355,119
T1356,105
T1357,181
T1358,79
T1359,138
T1360,160
T1361,78
T1362,122
T1363,174
T1364,184
T1365,128
T1366,61
T1367,106
T1368,151
T1369,64
T1370,51
T1371,102
T1372,127
T1373,104
T1374,85
T1375,115
T1376,124
T1377,133
T1378,80
T1379,51
T1380,177
T1381,160
T1382,94
T1383,83
T1384,147
T1385,186
T1386,108
T1387,178
T1388,193
T1389,140
T1390,68
T1391,151
T1392,60
T1393,161
T1394,54
T1395,167
T1396,69
T1397,130
T1398,197
T1399,159
T1400,196
T1401,153
T1402,156
T1403,124
T1404,79
T1405,153
T1406,55
T1407,133
T1408,93
T1409,167
T1410,142
T1411,72
T1412,161
T1413,77
T1414,112
T1415,161
T1416,200
T1417,152
T1418,184
T1419,70
T1420,151
T1421,129
T1422,136
T1423,106
T1424,135
T1425,93
T1426,69
T1427,180
T1428,79
T1429,185
T1430,180
T1431,99
T1432,139
T1433,139
T1434,87
T1435,110
T1436,76
T1437,87
T1438,115
T1439,100
T1440,94
T1441,89
T1442,69
T1443,95
T1444,176
T1445,168
T1446,194
T1447,198
T1448,164
T1449,194
T1450,132
T1451,130
T1452,88
T1453,162
T1454,67
T1455,170
T1456,163
T1457,127
T1458,120
T1459,64
T1460,140
T1461,179
T1462,68
T1463,129
T1464,168
T1465,165
T1466,59
T1467,64
T1468,144
T1469,123
T1470,69
T1471,73
T1472,179
T1473,148
T1474,168
T1475,198
T1476,191
T1477,60
T1478,165
T1479,196
T1480,98
T1481,132
T1482,171
T1483,178
T1484,88
T1485,65
T1486,165
T1487,76
T1488,137
T1489,71
T1490,179
T1491,94
T1492,60
T1493,113
T1494,162
T1495,162
T1496,184
T1497,183
T1498,90
T1499,143
T1500,145
T1501,122
T1502,149
T1503,154
T1504,136
T1505,63
T1506,135
T1507,66
T1508,134
T1509,74
T1510,192
T1511,148
T1512,122
T1513,114
T1514,88
T1515,135
T1516,70
T1517,199
T1518,86
T1519,139
T1520,129
T1521,150
T1522,83
T1523,71
T1524,129
T1525,193
T1526,146
T1527,134
T1528,82
T1529,184
T1530,73
T1531,158
T1532,180
T1533,142
T1534,54
T1535,142
T1536,129
T1537,96
T1538,104
T1539,137
T1540,174
T1541,99
T1542,107
T1543,85
T1544,89
T1545,69
T1546,125
T1547,75
T1548,179
T1549,188
T1550,184
T1551,59
T1552,136
T1553,83
T1554,146
T1555,89
T1556,91
T1557,96
T1558,92
T1559,162
T1560,61
T1561,155
T1562,143
T1563,110
T1564,163
T1565,122
T1566,164
T1567,109
T1568,186
T1569,111
T1570,129
T1571,170
T1572,99
T1573,144
T1574,196
T1575,162
T1576,168
T1577,122
T1578,147
T1579,178
T1580,185
T1581,157
T1582,91
T1583,101
T1584,85
T1585,114
T1586,63
T1587,173
T1588,145
T1589,191
T1590,76
T1591,182
T1592,81
T1593,122
T1594,71
T1595,91
T1596,119
T1597,165
T1598,181
T1599,87
T1600,161
T1601,73
T1602,106
T1603,165
T1604,139
T1605,56
T1606,156
T1607,63
T1608,151
T1609,178
T1610,145
T1611,110
T1612,148
T1613,70
T1614,145
T1615,107
T1616,57
T1617,131
T1618,75
T1619,135
T1620,87
T1621,85
T1622,59
T1623,123
T1624,170
T1625,85
T1626,170
T1627,164
T1628,51
T1629,70
T1630,54
T1631,115
T1632,105
T1633,88
T1634,190
T1635,185
T1636,158
T1637,78
T1638,123
T1639,110
T1640,127
T1641,81
T1642,62
T1643,111
T1644,157
T1645,167
T1646,66
T1647,78
T1648,177
T1649,187
T1650,54
T1651,181
T1652,197
T1653,111
T1654,86
T1655,124
T1656,159
T1657,50
T1658,140
T1659,111
T1660,196
T1661,156
T1662,97
T1663,71
T1664,184
T1665,142
T1666,67
T1667,184
T1668,189
T1669,179
T1670,179
T1671,191
T1672,55
T1673,149
T1674,170
T1675,61
T1676,149
T1677,145
T1678,114
T1679,54
T1680,141
T1681,67
T1682,138
T1683,111
T1684,76
T1685,198
T1686,135
T1687,84
T1688,61
T1689,140
T1690,189
T1691,136
T1692,94
T1693,168
T1694,172
T1695,96
T1696,84
T1697,66
T1698,167
T1699,59
T1700,125
T1701,101
T1702,61
T1703,101
T1704,60
T1705,130
T1706,129
T1707,181
T1708,151
T1709,189
T1710,171
T1711,114
T1712,59
T1713,98
T1714,123
T1715,141
T1716,62
T1717,134
T1718,119
T1719,81
T1720,144
T1721,161
T1722,152
T1723,162
T1724,148
T1725,136
T1726,97
T1727,177
T1728,177
T1729,144
T1730,182
T1731,118
T1732,71
T1733,158
T1734,70
T1735,160
T1736,96
T1737,189
T1738,125
T1739,132
T1740,76
T1741,70
T1742,133
T1743,125
T1744,128
T1745,164
T1746,159
T1747,92
T1748,163
T1749,139
T1750,164
T1751,60
T1752,140
T1753,161
T1754,120
T1755,64
T1756,69
T1757,153
T1758,143
T1759,181
T1760,90
T1761,57
T1762,86
T1763,162
T1764,58
T1765,82
T1766,67
T1767,110
T1768,143
T1769,142
T1770,148
T1771,195
T1772,58
T1773,89
T1774,165
T1775,144
T1776,145
T1777,163
T1778,69
T1779,196
T1780,85
T1781,185
T1782,143
T1783,151
T1784,130
T1785,121
T1786,113
T1787,79
T1788,56
T1789,97
T1790,177
T1791,182
T1792,149
T1793,193
T1794,80
T1795,117
T1796,116
T1797,164
T1798,104
T1799,123
T1800,175
T1801,101
T1802,81
T1803,84
T1804,68
T1805,165
T1806,94
T1807,163
T1808,72
T1809,131
T1810,138
T1811,66
T1812,190
T1813,188
T1814,124
T1815,126
T1816,90
T1817,94
T1818,142
T1819,180
T1820,107
T1821,81
T1822,101
T1823,85
T1824,110
T1825,176
T1826,56
T1827,142
T1828,191
T1829,196
T1830,144
T1831,169
T1832,191
T1833,83
T1834,72
T1835,66
T1836,129
T1837,151
T1838,172
T1839,184
T1840,155
T1841,154
T1842,197
T1843,68
T1844,82
T1845,131
T1846,68
T1847,165
T1848,169
T1849,182
T1850,138
T1851,82
T1852,191
T1853,200
T1854,96
T1855,83
T1856,160
T1857,178
T1858,64
T1859,81
T1860,182
T1861,89
T1862,127
T1863,92
T1864,91
T1865,132
T1866,107
T1867,138
T1868,182
T1869,122
T1870,70
T1871,114
T1872,100
T1873,191
T1874,120
T1875,82
T1876,127
T1877,186
T1878,73
T1879,178
T1880,93
T1881,198
T1882,89
T1883,93
T1884,136
T1885,194
T1886,60
T1887,57
T1888,70
T1889,61
T1890,197
T1891,117
T1892,103
T1893,196
T1894,156
T1895,57
T1896,177
T1897,189
T1898,124
T1899,127
T1900,173
T1901,112
T1902,153
T1903,126
T1904,166
T1905,68
T1906,65
T1907,90
T1908,162
T1909,156
T1910,173
T1911,168
T1912,102
T1913,137
T1914,86
T1915,130
T1916,131
T1917,138
T1918,152
T1919,83
T1920,144
T1921,181
T1922,193
T1923,77
T1924,131
T1925,111
T1926,169
T1927,81
T1928,118
T1929,165
T1930,113
T1931,86
T1932,74
T1933,62
T1934,124
T1935,148
T1936,157
T1937,113
T1938,90
T1939,133
T1940,197
T1941,130
T1942,98
T1943,90
T1944,177
T1945,181
T1946,169
T1947,177
T1948,128
T1949,177
T1950,55
T1951,73
T1952,150
T1953,179
T1954,167
T1955,111
T1956,105
T1957,199
T1958,140
T1959,62
T1960,62
T1961,122
T1962,176
T1963,170
T1964,123
T1965,187
T1966,52
T1967,77
T1968,160
T1969,84
T1970,117
T1971,143
T1972,153
T1973,143
T1974,61
T1975,152
T1976,63
T1977,195
T1978,193
T1979,99
T1980,142
T1981,191
T1982,123
T1983,68
T1984,148
T1985,179
T1986,165
T1987,190
T1988,121
T1989,80
T1990,82
T1991,74
T1992,150
T1993,145
T1994,136
T1995,192
T1996,143
T1997,86
T1998,100
T1999,180
T2000,152
T2001,178
T2002,60
T2003,61
T2004,59
T2005,85
T2006,135
T2007,171
T2008,182
T2009,166
T2010,88
T2011,181
T2012,85
T2013,133
T2014,131
T2015,91
T2016,150
T2017,126
T2018,136
T2019,179
T2020,180
T2021,186
T2022,175
T2023,194
T2024,126
T2025,171
T2026,54
T2027,144
T2028,134
T2029,78
T2030,156
T2031,199
T2032,128
T2033,56
T2034,171
T2035,117
T2036,198
T2037,197
T2038,108
T2039,63
T2040,199
T2041,172
T2042,93
T2043,184
T2044,147
T2045,87
T2046,112
T2047,58
T2048,196
T2049,78
T2050,98
T2051,54
T2052,162
T2053,130
T2054,157
T2055,88
T2056,155
T2057,102
T2058,155
T2059,178
T2060,170
T2061,65
T2062,85
T2063,182
T2064,103
T2065,193
T2066,133
T2067,172
T2068,184
T2069,146
T2070,130
T2071,94
T2072,167
T2073,186
T2074,137
T2075,189
T2076,140
T2077,117
T2078,173
T2079,99
T2080,113
T2081,121
T2082,192
T2083,126
T2084,107
T2085,126
T2086,123
T2087,103
T2088,175
T2089,131
T2090,172
T2091,139
T2092,193
T2093,120
T2094,123
T2095,81
T2096,196
T2097,189
T2098,147
T2099,151
T2100,138
T2101,87
T2102,124
T2103,60
T2104,123
T2105,70
T2106,138
T2107,163
T2108,115
T2109,172
T2110,104
T2111,101
T2112,187
T2113,119
T2114,193
T2115,119
T2116,85
T2117,77
T2118,200
T2119,111
T2120,112
T2121,62
T2122,185
T2123,107
T2124,109
T2125,63
T2126,75
T2127,155
T2128,134
T2129,170
T2130,75
T2131,85
T2132,51
T2133,190
T2134,90
T2135,154
T2136,171
T2137,172
T2138,101
T2139,123
T2140,132
T2141,123
T2142,65
T2143,72
T2144,196
T2145,109
T2146,186
T2147,59
T2148,94
T2149,156
T2150,95
T2151,59
T2152,151
T2153,176
T2154,97
T2155,124
T2156,59
T2157,52
T2158,126
T2159,195
T2160,77
T2161,135
T2162,122
T2163,166
T2164,189
T2165,184
T2166,176
T2167,84
T2168,179
T2169,169
T2170,119
T2171,99
T2172,78
T2173,134
T2174,91
T2175,167
T2176,115
T2177,97
T2178,53
T2179,136
T2180,125
T2181,195
T2182,99
T2183,94
T2184,153
T2185,159
T2186,181
T2187,133
T2188,72
T2189,152
T2190,74
T2191,97
T2192,85
T2193,172
T2194,132
T2195,113
T2196,51
T2197,116
T2198,148
T2199,110
T2200,164
T2201,118
T2202,134
T2203,127
T2204,199
T2205,196
T2206,52
T2207,116
T2208,142
T2209,110
T2210,65
T2211,80
T2212,169
T2213,128
T2214,90
T2215,153
T2216,178
T2217,129
T2218,80
T2219,125
T2220,144
T2221,106
T2222,106
T2223,84
T2224,172
T2225,89
T2226,166
T2227,145
T2228,156
T2229,190
T2230,170
T2231,187
T2232,105
T2233,113
T2234,70
T2235,184
T2236,164
T2237,185
T2238,142
T2239,69
T2240,194
T2241,78
T2242,65
T2243,190
T2244,179
T2245,101
T2246,196
T2247,187
T2248,88
T2249,92
T2250,133
T2251,183
T2252,163
T2253,79
T2254,102
T2255,199
T2256,175
T2257,73
T2258,180
T2259,164
T2260,64
T2261,166
T2262,83
T2263,181
T2264,156
T2265,166
T2266,194
T2267,64
T2268,193
T2269,168
T2270,128
T2271,55
T2272,151
T2273,115
T2274,50
T2275,105
T2276,198
T2277,68
T2278,61
T2279,158
T2280,138
T2281,66
T2282,188
T2283,65
T2284,67
T2285,170
T2286,58
T2287,123
T2288,154
T2289,96
T2290,84
T2291,157
T2292,145
T2293,147
T2294,164
T2295,146
T2296,146
T2297,70
T2298,188
T2299,84
T2300,139
T2301,80
T2302,95
T2303,187
T2304,150
T2305,185
T2306,82
T2307,107
T2308,50
T2309,55
T2310,126
T2311,168
T2312,189
T2313,158
T2314,186
T2315,147
T2316,108
T2317,113
T2318,167
T2319,138
T2320,89
T2321,120
T2322,98
T2323,78
T2324,58
T2325,157
T2326,54
T2327,111
T2328,102
T2329,67
T2330,75
T2331,58
T2332,164
T2333,62
T2334,112
T2335,61
T2336,152
T2337,162
T2338,109
T2339,188
T2340,105
T2341,64
T2342,85
T2343,178
T2344,124
T2345,109
T2346,197
T2347,131
T2348,197
T2349,132
T2350,110
T2351,127
T2352,86
T2353,183
T2354,106
T2355,155
T2356,126
T2357,120
T2358,65
T2359,192
T2360,94
T2361,159
T2362,192
T2363,176
T2364,62
T2365,138
T2366,147
T2367,184
T2368,131
T2369,156
T2370,154
T2371,88
T2372,126
T2373,146
T2374,97
T2375,187
T2376,171
T2377,111
T2378,107
T2379,126
T2380,86
T2381,168
T2382,64
T2383,193
T2384,155
T2385,156
T2386,192
T2387,185
T2388,84
T2389,149
T2390,112
T2391,115
T2392,102
T2393,134
T2394,70
T2395,165
T2396,144
T2397,73
T2398,187
T2399,98
T2400,63
T2401,118
T2402,146
T2403,60
T2404,68
T2405,98
T2406,200
T2407,193
T2408,105
T2409,172
T2410,103
T2411,135
T2412,127
T2413,53
T2414,104
T2415,98
T2416,80
T2417,172
T2418,112
T2419,102
T2420,151
T2421,111
T2422,191
T2423,132
T2424,122
T2425,147
T2426,169
T2427,186
T2428,141
T2429,128
T2430,116
T2431,142
T2432,181
T2433,177
T2434,169
T2435,75
T2436,170
T2437,131
T2438,102
T2439,144
T2440,130
T2441,155
T2442,61
T2443,194
T2444,106
T2445,87
T2446,54
T2447,116
T2448,191
T2449,199
T2450,198
T2451,156
T2452,125
T2453,89
T2454,100
T2455,134
T2456,108
T2457,147
T2458,195
T2459,112
T2460,177
T2461,190
T2462,136
T2463,115
T2464,175
T2465,175
T2466,167
T2467,93
T2468,140
T2469,93
T2470,85
T2471,189
T2472,175
T2473,97
T2474,188
T2475,65
T2476,184
T2477,58
T2478,69
T2479,62
T2480,51
T2481,155
T2482,85
T2483,109
T2484,67
T2485,88
T2486,52
T2487,105
T2488,179
T2489,166
T2490,145
T2491,65
T2492,173
T2493,174
T2494,54
T2495,51
T2496,186
